ts,inverter,code,meaning
2017-10-29 09:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 10:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
