inverter,kwp,orient,days_with_data,drift_pct_per_month,n_episodes,max_episode_decline_pct,episodes
03.12.067,73.92,W,1290,-0.001,0,,
03.12.066,73.92,W,1292,0.022,0,,
03.11.065,73.92,W,1292,0.001,0,,
03.11.064,73.92,W,1292,0.008,0,,
04.04.080,73.92,W,1292,0.012,0,,
04.04.081,73.92,W,1292,0.01,0,,
04.02.076,73.92,O,1292,0.008,0,,
04.02.077,73.92,O,1292,-0.005,0,,
04.09.091,73.92,W,1292,0.004,0,,
04.09.090,73.92,W,1292,0.001,0,,
04.08.088,73.92,W,1292,0.014,0,,
04.07.086,73.92,W,1292,0.014,0,,
04.06.084,73.92,W,1292,0.012,0,,
04.06.085,73.92,W,1290,-0.001,0,,
04.05.082,73.92,W,1292,0.013,0,,
04.05.083,73.92,W,1292,0.013,0,,
04.03.079,73.92,W,1292,-0.0,0,,
04.03.078,73.92,W,1292,0.009,0,,
05.04.098,73.92,W,1292,0.002,0,,
05.02.095,73.92,O,1292,0.007,0,,
05.02.094,73.92,O,1292,0.014,0,,
05.03.097,73.92,W,1292,-0.009,0,,
05.03.096,73.92,W,1292,0.007,0,,
05.05.101,73.92,W,1292,0.002,0,,
